year,month,day,transect,plot,species_code,area,method,total_biomass,stem_count,biomass_notes,shrub_counts,data_quality_flag,genus,species
2015,10,15,R1,1,AMCA,1,allometry,52.56836028350469,NA,NA,NA,NA,Amaranthus,cannabinus
2015,10,15,R1,1,ATPA,1,allometry,1020.5915764280847,NA,NA,NA,NA,Atriplex,patula
2015,10,15,R1,1,SCRO,1,allometry,6.912593606813802,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R1,1,SPAL,1,allometry,193.3105549728324,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R1,1,SYLA,1,allometry,3.705611301294476,NA,NA,NA,NA,Symphyotrichum,lanceolatum
2015,10,15,R1,2,AMCA,1,allometry,11.999293333160082,NA,NA,NA,NA,Amaranthus,cannabinus
2015,10,15,R1,2,IVFR,1,allometry,123.1713296541559,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R1,2,SCRO,1,allometry,23.48571285408101,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R1,2,SPAL,1,allometry,155.0614396129202,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R1,2,SYLA,1,allometry,3.747961245084073,NA,NA,NA,NA,Symphyotrichum,lanceolatum
2015,10,15,R1,2,TYAN,1,allometry,26.38626795976,NA,NA,NA,NA,Typha,angustifolia
2015,10,15,R1,3,IVFR,1,allometry,227.12969709877416,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R1,3,PLOD,1,allometry,0.531991003764807,NA,NA,NA,NA,Pluchea,odorata
2015,10,15,R1,3,SCRO,1,allometry,69.06745881471997,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R1,3,SPAL,1,allometry,189.21944311256487,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R1,4,IVFR,1,allometry,568.352938593601,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R1,4,SCRO,1,allometry,18.86884088498836,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R1,4,SYTE,1,allometry,3.6812885969873106,NA,NA,NA,NA,Symphyotrichum,tenuifolium
2015,10,15,R1,4,TYAN,1,allometry,90.23391023701876,NA,NA,NA,NA,Typha,angustifolia
2015,10,15,R1,5,HIMO,1,allometry,76.34851014469744,NA,NA,NA,NA,Hibiscus,moscheutos
2015,10,15,R1,5,SALA,1,allometry,2.192057567948106,NA,NA,NA,NA,Sagittaria,latifolia
2015,10,15,R2,1,AMCA,1,allometry,12.530326173828358,NA,NA,NA,NA,Amaranthus,cannabinus
2015,10,15,R2,1,PHAU,1,allometry,173.88783649295488,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R2,1,SCRO,1,allometry,20.67451779292203,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R2,1,SPAL,1,allometry,7.312321827221899,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R2,1,SYLA,1,allometry,1.1871526632064884,NA,NA,NA,NA,Symphyotrichum,lanceolatum
2015,10,15,R2,2,IVFR,1,allometry,0,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R2,2,PHAU,1,allometry,181.4270599487361,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R2,3,IVFR,1,allometry,7.863965869147515,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R2,3,PHAU,1,allometry,843.7571566697665,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R2,3,SPAL,1,allometry,51.24800195709355,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R2,4,AMCA,1,allometry,25.860761760351043,NA,NA,NA,NA,Amaranthus,cannabinus
2015,10,15,R2,4,PHAU,1,allometry,595.5182310850491,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R2,4,SPAL,1,allometry,23.545800372660658,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R2,5,PHAU,1,allometry,368.9421538546572,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R3,1,IVFR,1,allometry,229.5418642569059,NA,NA,NA,NA,Iva,frutescens
2015,10,15,R3,1,PHAU,1,allometry,47.26891376671574,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R3,1,SCRO,1,allometry,46.67544131904309,NA,NA,NA,NA,Schoenoplectus,robustus
2015,10,15,R3,1,SPAL,1,allometry,491.0772852947237,NA,NA,NA,NA,Spartina,alterniflora
2015,10,15,R3,2,PHAU,1,allometry,170.49523189022776,NA,NA,NA,NA,Phragmites,australis
2015,10,15,R3,2,SCRO,1,allometry,20.97340263724096,NA,NA,NA,NA,Schoenoplectus,robustus
